artist_familiarity,artist_hotttnesss,artist_latitude,artist_longitude,artist_name,song_hotttnesss,audio_md5,duration,end_of_fade_in,key,key_confidence,loudness,start_of_fade_out,tempo,time_signature,time_signature_confidence,year
0.4736241237475465,0.3645865754085436,32.58507,-89.87374,b'Joe Turner',,b'78cfa0ef2c39ec905fe1d1084c62ca0d',198.50404,0.29,5,0.166,-16.274,192.772,101.77,5,0.722,0
0.4161410224693502,0.3310901263389161,40.71455,-74.00712,b'Eddie Cantor',,b'3efde64c0b508f9f204f85ddba9c651d',196.88444,5.329,5,0.495,-14.618,192.546,77.963,5,0.581,1994
0.4804019702957005,0.3923252825279137,59.91228,10.74998,b'Black Debbath',,b'5728f1009905ff9f144702c273640f48',278.46485,0.0,5,0.996,-5.808,275.702,132.642,4,0.508,2009
0.6479450052322555,0.3792263655405656,,,b'Esser',,b'56db53e3036f07c41e6962247efc4105',191.55546,0.0,10,0.296,-4.622,184.291,121.988,3,1.0,2008
0.5818843588912933,0.3470069209304056,51.48126,-3.18067,b'Helen Love',0.4079017172180738,b'f7c202f09579a68119f8327ded0ab632',185.36444,0.0,8,0.982,-7.531,179.531,95.575,4,0.731,2000
0.7722721609278159,0.5001193350750798,,,b'Mobb Deep',0.6093991023458866,b'7206b88b1f9255b32f43605a7ba3c4f6',264.64608,0.078,5,0.641,-7.101,248.842,93.976,4,1.0,1999
0.4480138363621708,0.348295196786163,,,b'TEN MADISON',0.4072330149011048,b'95ed01c363c71e78790799432ea397ca',283.76771,7.488,4,0.178,-7.827,278.245,133.326,5,0.974,2006
0.4428185380034297,0.3205201351139909,,,b'Quinteto Violado',,b'78af6dbff7c3c7ed01504b7faa84a4c0',162.08934,0.409,7,1.0,-13.136,153.292,125.224,5,0.991,0
0.4832430673203282,0.3244308919925855,,,b'Malkit Singh',,b'fc52a94a82371d5b7ba5a82a8dd69535',370.85995,0.0,1,0.667,-14.03,364.495,101.13,4,1.0,0
0.3417685155665637,0.2360988203275557,,,b'Alturas',0.0,b'8200f4025cede175683e390c5bb0f971',279.84934,0.0,4,0.276,-12.891,276.457,136.874,4,0.275,0
0.630795369641182,0.3981967174470959,,,b'Patricia Kaas',,b'd97bb44efca38acbf10350550655df11',247.11791,2.287,5,0.859,-8.016,233.117,130.272,5,0.99,1988
0.7049944721075903,0.5048551544436319,,,b'Phil Vassar',0.5957540542599369,b'106e10d11180f1b209051f728e2740f1',217.28608,0.571,11,0.383,-4.35,203.976,94.007,4,0.623,2008
